condition,fid,sfid,inception_score,noise_fingerprint,label_fingerprint,anchor_step,other_step,total_nfe,sampling_peak_memory_mib,fid_peak_memory_mib,source,sample_seed,fid_gain_vs_paired_baseline
baseline,60.52851606676393,69.41572942073049,30.012340545654297,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,800000,800000,33500,2244,2858,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/finite_guidance_800k_compact_replication_v1/seed0/x_pair/field_control_fid5k.json,0,0.0
x_closed,55.25820158151379,68.3256339264342,29.948688507080078,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,800000,800000,42416,2244,2858,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/finite_guidance_800k_compact_replication_v1/seed0/x_pair/field_control_fid5k.json,0,5.27031448525014
x_frozen,57.030908623388996,68.8835710445037,29.82587242126465,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,800000,800000,38312,1989,2837,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/finite_guidance_800k_compact_replication_v1/seed0/x_frozen/frozen_guidance_fid5k.json,0,3.497607443374932
vweak_closed,55.56856225122425,68.60810279837972,31.866058349609375,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,800000,500000,39470,2223,2837,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/finite_guidance_800k_compact_replication_v1/seed0/vweak_closed/field_control_fid5k.json,0,4.959953815539677
vweak_frozen,56.22111264725197,68.73914059404115,31.34352684020996,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,800000,500000,35240,1989,2837,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/finite_guidance_800k_compact_replication_v1/seed0/vweak_frozen/frozen_guidance_fid5k.json,0,4.307403419511957
baseline,60.442330471656874,69.50300216428309,29.96828842163086,7c6c26d7f18ca422df6d4b4abc1b70fc3604db720a10e88c278011b2a230e4a5,d01146960bfe695e6925e1ca638353287197b87090ea25755cfd5f2bbbf555db,800000,800000,33554,2223,2837,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/finite_guidance_800k_compact_replication_v1/seed1/x_pair/field_control_fid5k.json,1,0.0
x_closed,54.70537359442426,68.77248730375891,30.55483627319336,7c6c26d7f18ca422df6d4b4abc1b70fc3604db720a10e88c278011b2a230e4a5,d01146960bfe695e6925e1ca638353287197b87090ea25755cfd5f2bbbf555db,800000,800000,42350,2223,2837,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/finite_guidance_800k_compact_replication_v1/seed1/x_pair/field_control_fid5k.json,1,5.736956877232615
x_frozen,56.09950889984077,69.1632037639298,29.673969268798828,7c6c26d7f18ca422df6d4b4abc1b70fc3604db720a10e88c278011b2a230e4a5,d01146960bfe695e6925e1ca638353287197b87090ea25755cfd5f2bbbf555db,800000,800000,38318,1989,2837,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/finite_guidance_800k_compact_replication_v1/seed1/x_frozen/frozen_guidance_fid5k.json,1,4.342821571816103
vweak_closed,54.73356663194215,68.66375812921308,32.03138732910156,7c6c26d7f18ca422df6d4b4abc1b70fc3604db720a10e88c278011b2a230e4a5,d01146960bfe695e6925e1ca638353287197b87090ea25755cfd5f2bbbf555db,800000,500000,39254,2223,2837,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/finite_guidance_800k_compact_replication_v1/seed1/vweak_closed/field_control_fid5k.json,1,5.70876383971472
vweak_frozen,55.1581474080952,68.74790587382063,31.66734504699707,7c6c26d7f18ca422df6d4b4abc1b70fc3604db720a10e88c278011b2a230e4a5,d01146960bfe695e6925e1ca638353287197b87090ea25755cfd5f2bbbf555db,800000,500000,35282,1989,2837,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/finite_guidance_800k_compact_replication_v1/seed1/vweak_frozen/frozen_guidance_fid5k.json,1,5.28418306356167
